Акрукс,12.45,-63.18,\alpha Cru
Алголь,3.133333333,41,\beta Per
Алиот,12.9,56,\varepsilon UMa
Альбирео,19.51666667,28,\beta Cyg
Альгиеба,10.33333333,19.8,\gamma Leo
Альдебаран,4.6,16.5,\alpha Tau
Альдерамин,21.31666667,62.6,\alpha Cep
Алькаид,13.8,49.3,\eta UMa
Альнаир,22.167,-46.9167,\alpha Gru
Альнитак,5.683333333,-1.9,\zeta Ori
Альредиф,22.5,58.5,\delta Cep
Альтаир,19.85,8.9,\alpha Aql
Альфард,9.466666667,-8.7,\alpha Hya
Альфекка,15.58333333,26.7,\alpha CrB
Альферац,0.1333333333,29.1,\alpha And
Анкаа,0.45,-42.217,\alpha Phe
Антарес,16.48333333,-26.4,\alpha Sco
Арктур,14.26666667,19.2,\alpha Boo
Атрия,16.817,-69.05,\alpha TrA
Ахернар,1.633333333,-57.2,\alpha Eri
Беллатрикс,5.416666667,6.3,\gamma Ori
Бетельгейзе,5.916666667,7.4,\alpha Ori
Вега,18.61666667,38.8,\alpha Lyr
Гакрукс,12.517,-57.2,\gamma Cru
Денеб,20.68333333,45.3,\alpha Cyg
Денебола,11.81666667,14.6,\beta Leo
Дифда,0.7333333333,-18,\beta Cet
Дубхе,11.06666667,61.8,\alpha UMa
Канопус,6.383,-52.708,\alpha Car
Капелла,5.283333333,46,\alpha Aur
Кастор,7.583333333,31.9,\alpha Gem
Каф,0.15,59.2,\beta Cas
Китальфа,21.25,5.25,\alpha Equ
Кохаб,14.85,74.2,\beta UMi
Маркаб,23.08333333,15.2,\alpha Peg
Мерак,11.03333333,56.4,\beta UMa
Мимоза,12.783,-59.767,\beta Cru
Минтака,5.533333333,-0.3,\delta Ori
Мирах,1.166666667,35.6,\beta And
Мирфак,3.4,49.9,\alpha Per
Мицар,13.4,54.9,\zeta UMa
Нави,0.944,60.7167,\gamma Cas
Пеакок,20.417,-56.683,\alpha Pav
Поллукс,7.75,28,\beta Gem
Полярная,2.533333333,89.3,\alpha UMi
Процион,7.65,5.2,\alpha CMi
Проципа,11.85,34.1,46 LMi
Растабан,17.5,52.3,\beta Dra
Регул,10.1388,11.917,\alpha Leo
Ригель,5.25,-8.2,\beta Ori
Садр,20.36666667,40.3,\gamma Cyg
Саиф,5.8,-9.7,\kappa Ori
Сердце Карла,12.93333333,38.3,\alpha CVn
Сириус,6.75,-16.7,\alpha CMa
Спика,13.41666667,-11.2,\alpha Vir
Суалоцин,20.6605,15.916,\alpha Del
Толиман,14.667,-60.883,\alpha Cen
Фольмальгаут,22.96666667,-29.6,\alpha PsA
Хадар,14.05,-60.4167,\beta Cen
Хамаль,2.116666667,23.5,\alpha Ari
Шаула,17.56666667,-37.1,\lambda Sco
Шеат,23.06666667,28.1,\beta Peg
Шедар,0.6833333333,56.5,\alpha Cas
Шелиак,18.83,33.3,\beta Lyr
Эниф,21.73333333,9.9,\varepsilon Peg
Адара,6.977097222,-28.97208611,\varepsilon CMa
Эль-Нат,5.438194444,28.6075,\beta Tau
Миаплацидус,9.219991667,-69.71720833,\beta Car
Альнилам,5.603555556,-1.201916667,\varepsilon Ori
Регор,8.158875036,-47.33658633,\gamma Vel
Везен,7.139855556,-26.3932,\delta CMa
Саргас,17.62198051,-42.997828,\theta Sco
Каус Аустралис,18.40286667,-34.38461667,\varepsilon Sgr
Авиор,8.375232017,-59.50948419,\varepsilon Car
Менкалинан,5.992145258,44.94743258,\beta Aur
Альхена,6.628530694,16.39928042,\gamma Gem
Алсефина,8.745062778,-54.70882222,\delta Vel
Мирцам,6.378329264,-17.95591869,\beta CMa
Нунки,18.92109167,-26.296725,\sigma Sgr
Менкент,14.11147222,-36.36869444,\theta Sco
Рас Альхаге,17.58224167,12.56003611,\alpha Oph
Тиаки,22.71112508,-46.88457644,\beta Gru
Мулифан,12.69195556,-48.95987222,\gamma Cen
Аспидиске,9.284833333,-59.27527778,\iota Car
Сухайль,9.133266667,-43.43259167,\lambda Vel
Этамин,17.94344444,51.48897222,\gamma Dra
Наос,8.05975,-40.00322222,\zeta Pup
Аламак,2.065,42.32972222,\gamma And
Ицар,14.74978333,27.074225,\varepsilon Boo
Каккаб,14.69882105,-47.38819875,\alpha Lup
Аль Бирдхаун,13.66479382,-53.46639114,\varepsilon Cen
Дшубба,16.00555556,-22.62166667,\delta Sco
Лараваг,16.83605556,-34.29333333,\varepsilon Sco
Эта Центавра,14.59178449,-42.15782522,\eta Cen
Гиртаб,17.70813889,-39.03,\kappa Sco
Сабик,17.17296858,-15.72490664,\eta Oph
Фекда,11.89716667,53.69472222,\gamma UMa
Алудра,7.401583333,-29.30310556,\eta CMa
Маркеб,9.368560447,-55.01066714,\kappa Vel
Дженах,20.77018889,33.97025833,\varepsilon Cyg
Акраб,16.09061111,-19.80555556,\beta Sco
Садальсууд,21.52597778,-5.571166667,\beta Aqr
Садальмелик,22.09639722,-0.3198333333,\alpha Aqr
Корнефорос,16.50368333,21.48963889,\beta Her
Арнеб,5.545502778,-17.82230556,\alpha Lep
Ансер,19.47844722,24.66516667,\alpha Vul
Денеб Альгеди,21.78396944,-16.12655556,\delta Cap
Факт,5.660816667,-34.07405556,\alpha Col
Диадема,13.16654167,17.52911111,\alpha Com
Альфекка Меридиана,19.15785556,-37.90425,\alpha CrA
Джиенах,12.26346389,-17.54197222,\gamma Crv
Краз,12.57311944,-23.39661111,\beta Crv
Ротанев,20.62579722,14.59519444,\beta Del
Далим,3.201188889,-28.98911111,\alpha For
Зубен эль Шемали,15.28346389,-9.382861111,\beta Lib
Зубен Эльгенуби,14.84799444,-16.04161111,\alpha Lib
Альфарг,1.524719444,15.34583333,\eta Psc
Унук Альхайя,15.73777778,6.425527778,\alpha Ser
Тарф,8.275263889,9.185666667,\beta Cnc